agent_id,quarter_initial,income_initial,quintile_initial,skills_initial,oer_engaged_initial,signal_completed_initial,employment_initial,quarter_final,income_final,quintile_final,skills_final,oer_engaged_final,signal_completed_final,employment_final
5531,0,90562.92015686487,2,0.0,False,False,employed,40,151667.78586864236,3,0.0,False,False,employed
5532,0,81684.44022568407,2,0.0,False,False,employed,40,101069.37953950049,3,0.0,False,False,employed
5533,0,60746.54215358719,2,0.0,False,False,employed,40,60013.111838761026,2,0.0,False,False,employed
5534,0,133566.91794995297,3,0.0,False,False,employed,40,555958.0955492452,4,0.0,False,False,employed
5535,0,42198.082221326295,1,0.0,False,False,employed,40,53468.038471982894,1,0.0,False,False,employed
5536,0,21572.141141987442,0,0.0,False,False,employed,40,26836.06580039422,0,0.0,False,False,employed
5537,0,73747.7633242521,2,0.0,False,False,employed,40,116907.8715863857,3,0.0,False,False,employed
5538,0,3115.0512557469315,0,0.0,False,False,employed,40,2307.7618055779944,0,0.0,False,False,employed
5539,0,331380.43189776666,4,0.0,False,False,employed,40,247688.10769431057,4,0.0,False,False,employed
5540,0,18042.451624465244,0,0.0,False,False,employed,40,26657.531916833228,0,0.0,False,False,employed
5541,0,190261.8372088935,3,0.0,False,False,employed,40,447970.9855935914,4,0.0,False,False,employed
5542,0,384381.72987974464,4,0.0,False,False,employed,40,802194.4840265628,4,0.0,False,False,employed
5543,0,38432.91505623624,1,0.0,False,False,employed,40,136328.55223123377,3,0.0,False,False,employed
5544,0,35291.21885496729,1,0.0,False,False,employed,40,30237.9916776601,1,0.0,False,False,employed
5545,0,49657.19729040438,1,0.0,False,False,employed,40,132853.7048667242,3,0.0,False,False,employed
5546,0,101293.44650159423,1,0.0,False,False,employed,40,372017.49467013974,4,0.0,False,False,employed
5547,0,34876.70320116382,1,0.0,False,False,employed,40,29107.269011045028,0,0.0,False,False,employed
5548,0,58501.41515853128,1,0.0,False,False,employed,40,57465.040022947695,1,0.0,False,False,employed
5549,0,38249.89130140106,1,0.0,False,False,employed,40,90469.50104989269,2,0.0,False,False,employed
5550,0,15027.400166188334,0,0.0,False,False,employed,40,9071.064552850903,0,0.0,False,False,employed
5551,0,39661.23467109723,1,0.0,False,False,employed,40,30855.20535400191,1,0.0,False,False,employed
5552,0,44019.273414062656,1,0.0,False,False,employed,40,19570.150003339182,0,0.0,False,False,employed
5553,0,150073.8913454359,3,0.0,False,False,employed,40,407252.5851815974,4,0.0,False,False,employed
5554,0,76844.0660400191,2,0.0,False,False,employed,40,163617.1170263893,4,0.0,False,False,employed
5555,0,416957.6921277861,4,0.0,False,False,employed,40,1242008.8993562,4,0.0,False,False,employed
5556,0,65432.974862921896,1,0.0,False,False,employed,40,96006.56034349347,2,0.0,False,False,employed
5557,0,65166.17296884292,2,0.0,False,False,employed,40,225717.6480198241,4,0.0,False,False,employed
5558,0,134864.29179592791,3,0.0,False,False,employed,40,201029.36254818272,4,0.0,False,False,employed
5559,0,136.20239180540042,0,0.0,False,False,employed,40,320.5906885174653,0,0.0,False,False,employed
5560,0,10438.982893265174,0,0.0,False,False,unemployed,40,642962.3921423132,4,0.0,False,False,employed
5561,0,157124.68211975624,3,0.0,False,False,unemployed,40,84257.1819185385,2,0.0,False,False,employed
5562,0,104111.84812594057,1,0.0,False,False,employed,40,424264.06512710056,4,0.0,False,False,employed
5563,0,32027.51904565272,1,0.0,False,False,employed,40,25021.76781428718,0,0.0,False,False,employed
5564,0,101374.80043688188,2,0.0,False,False,employed,40,230522.52849683166,4,0.0,False,False,employed
5565,0,98271.26244220359,1,0.0,True,False,employed,40,183205.46023499477,4,1.8102741828593816,False,False,employed
5566,0,21190.085064818344,0,0.0,False,False,employed,40,45713.76188476692,1,0.0,False,False,employed
5567,0,131110.2487048615,3,0.0,False,False,employed,40,199475.38115593628,4,0.0,False,False,employed
5568,0,316722.2403598678,3,0.0,False,False,employed,40,246487.3693772339,4,0.0,False,False,employed
5569,0,8786.12530746483,0,0.0,False,False,unemployed,40,371044.9154520668,4,0.0,False,False,employed
5570,0,167892.12756952018,2,0.0,False,False,employed,40,637910.8110852649,4,0.0,False,False,employed
5571,0,124038.26243075026,3,0.0,False,False,employed,40,482183.31232591794,4,0.0,False,False,employed
5572,0,181476.32118313582,3,0.0,False,False,employed,40,638389.4556673331,4,0.0,False,False,employed
5573,0,478231.1582280345,4,0.0,False,False,employed,40,784808.6647775626,4,0.0,False,False,employed
5574,0,212111.9497214474,3,0.0,False,False,employed,40,1063858.2078021248,4,0.0,False,False,employed
5575,0,216578.08650136992,3,0.0,False,False,employed,40,1233004.688635715,4,0.0,False,False,employed
5576,0,36345.18452600807,1,0.0,False,False,employed,40,95173.32988854365,2,0.0,False,False,employed
5577,0,318376.0756147142,4,0.0,False,False,employed,40,687073.6242983072,4,0.0,False,False,employed
5578,0,47427.65038230512,1,0.0,False,False,employed,40,52797.45267731535,1,0.0,False,False,employed
5579,0,65176.77576174594,2,0.0,False,False,employed,40,113175.61060037075,3,0.0,False,False,employed
5580,0,85354.8484763471,3,0.0,False,False,employed,40,164672.33530633667,4,0.0,False,False,employed
5581,0,330414.0539798989,4,0.0,False,False,employed,40,518017.92782305606,4,0.0,False,False,employed
5582,0,133615.52421696365,3,0.0,False,False,employed,40,223206.0690044556,4,0.0,False,False,employed
5583,0,53137.29645147336,1,0.0,False,False,employed,40,289226.26695515326,4,0.0,False,False,employed
5584,0,547635.7971068473,4,0.0,False,False,employed,40,1711407.747631319,4,0.0,False,False,employed
5585,0,4468.030224694326,0,0.0,False,False,employed,40,6950.629020669191,0,0.0,False,False,employed
5586,0,13375.891257245425,0,0.0,False,False,employed,40,35342.67753209653,1,0.0,False,False,employed
5587,0,124539.35758028623,3,0.0,False,False,employed,40,52169.7716458558,1,0.0,False,False,employed
5588,0,107859.6683397804,2,0.0,False,False,employed,40,478146.89049275446,4,0.0,False,False,employed
5589,0,244963.42518727324,4,0.0,False,False,employed,40,1325363.0522203867,4,0.0,False,False,employed
5590,0,25485.260520509084,0,0.0,False,False,employed,40,28816.982576871294,0,0.0,False,False,employed
5591,0,34604.287703479655,0,0.0,False,False,employed,40,102688.86959130707,3,0.0,False,False,employed
5592,0,36511.675852925495,1,0.0,False,False,employed,40,48823.14265751887,1,0.0,False,False,employed
5593,0,206031.96064529085,4,0.0,False,False,employed,40,1750216.6897283818,4,0.0,False,False,employed
5594,0,30941.244819022104,0,0.0,False,False,employed,40,107414.24674218534,3,0.0,False,False,employed
5595,0,224694.39808257576,4,0.0,False,False,employed,40,489616.38551517494,4,0.0,False,False,employed
5596,0,20095.92518996194,0,0.0,False,False,employed,40,8867.665090089271,0,0.0,False,False,employed
5597,0,215353.87556190413,2,0.0,False,False,employed,40,671997.5410358965,4,0.0,False,False,employed
5598,0,204286.20890417194,3,0.0,False,False,employed,40,342724.83472140244,4,0.0,False,False,employed
5599,0,243910.02452437492,3,0.0,True,False,employed,40,144049.70552731556,3,23.96192476475975,False,False,employed
5600,0,24007.327981275314,0,0.0,False,False,employed,40,32060.666121306313,1,0.0,False,False,employed
5601,0,11560.44656903149,0,0.0,False,False,employed,40,28732.928293582845,0,0.0,False,False,employed
5602,0,77153.28292964975,2,0.0,False,False,employed,40,550742.643758179,4,0.0,False,False,employed
5603,0,81175.04537286607,1,0.0,False,False,employed,40,517384.66972054465,4,0.0,False,False,employed
5604,0,58524.52349072545,2,0.0,False,False,employed,40,231455.3567685349,4,0.0,False,False,employed
5605,0,122047.33648353988,1,0.0,False,False,not_in_lf,40,122047.33648353988,3,0.0,False,False,not_in_lf
5606,0,273606.0061216435,4,0.0,False,False,employed,40,552644.0264602486,4,0.0,False,False,employed
5607,0,49196.01978787588,0,0.0,False,False,employed,40,383054.90607627516,4,0.0,False,False,employed
5608,0,341886.19594197616,3,0.0,False,False,employed,40,825747.4021729418,4,0.0,False,False,employed
5609,0,139329.27230300693,4,0.0,False,False,employed,40,644238.255391116,4,0.0,False,False,employed
5610,0,119540.53532713269,3,0.0,False,False,employed,40,371273.95081634057,4,0.0,False,False,employed
5611,0,144323.831655807,3,0.0,False,False,employed,40,196033.41798335736,4,0.0,False,False,employed
5612,0,83552.03874858233,2,0.0,False,False,employed,40,267833.04942121083,4,0.0,False,False,employed
5613,0,162492.2491481484,3,0.0,False,False,employed,40,349392.22741822654,4,0.0,False,False,employed
